k,hits,precision,recall,fmeasure
1,0.0,0.0,0.0,0.0
2,1.0,0.5,0.25,0.3333333333333333
3,1.0,0.3333333333333333,0.25,0.28571428571428575
4,1.0,0.25,0.25,0.25
5,1.0,0.2,0.25,0.22222222222222224
6,2.0,0.3333333333333333,0.5,0.4
7,2.0,0.2857142857142857,0.5,0.36363636363636365
8,2.0,0.25,0.5,0.3333333333333333
9,2.0,0.2222222222222222,0.5,0.30769230769230765
10,2.0,0.2,0.5,0.28571428571428575
11,2.0,0.18181818181818182,0.5,0.26666666666666666
12,2.0,0.16666666666666666,0.5,0.25
13,2.0,0.15384615384615385,0.5,0.23529411764705882
14,2.0,0.14285714285714285,0.5,0.22222222222222224
15,2.0,0.13333333333333333,0.5,0.2105263157894737
16,2.0,0.125,0.5,0.2
17,2.0,0.11764705882352941,0.5,0.19047619047619047
18,2.0,0.1111111111111111,0.5,0.1818181818181818
19,2.0,0.10526315789473684,0.5,0.17391304347826086
20,2.0,0.1,0.5,0.16666666666666669
