k,hits,precision,recall,fmeasure
1,1.0,1.0,0.14285714285714285,0.25
2,1.0,0.5,0.14285714285714285,0.22222222222222224
3,1.0,0.3333333333333333,0.14285714285714285,0.2
4,1.0,0.25,0.14285714285714285,0.18181818181818182
5,1.0,0.2,0.14285714285714285,0.16666666666666666
6,1.0,0.16666666666666666,0.14285714285714285,0.15384615384615383
7,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,1.0,0.125,0.14285714285714285,0.13333333333333333
9,1.0,0.1111111111111111,0.14285714285714285,0.125
10,1.0,0.1,0.14285714285714285,0.11764705882352941
11,1.0,0.09090909090909091,0.14285714285714285,0.1111111111111111
12,1.0,0.08333333333333333,0.14285714285714285,0.10526315789473685
13,1.0,0.07692307692307693,0.14285714285714285,0.1
14,1.0,0.07142857142857142,0.14285714285714285,0.09523809523809523
15,1.0,0.06666666666666667,0.14285714285714285,0.09090909090909091
16,1.0,0.0625,0.14285714285714285,0.08695652173913043
17,1.0,0.058823529411764705,0.14285714285714285,0.08333333333333333
18,1.0,0.05555555555555555,0.14285714285714285,0.08
19,1.0,0.05263157894736842,0.14285714285714285,0.07692307692307693
20,1.0,0.05,0.14285714285714285,0.07407407407407408
